Year,co2emissions,temperature
1880,33980,-0.2041666666666667
1881,36644,-0.11583333333333334
1882,39210,-0.1025
1883,41783,-0.21
1884,42993,-0.2841666666666667
1885,43991,-0.3175
1886,44496,-0.30583333333333335
1887,46504,-0.33166666666666667
1888,50859,-0.20166666666666666
1889,54271,-0.11666666666666665
1890,56832,-0.36833333333333335
1891,60273,-0.245
1892,58676,-0.2708333333333333
1893,60238,-0.3016666666666667
1894,62636,-0.3066666666666667
1895,65034,-0.21583333333333332
1896,69940,-0.14666666666666667
1897,74660,-0.10916666666666668
1898,77887,-0.2791666666666667
1899,82774,-0.15916666666666668
1900,89181,-0.09333333333333334
1901,88853,-0.14916666666666667
1902,87115,-0.27166666666666667
1903,93777,-0.35333333333333333
1904,97195,-0.44333333333333336
1905,104346,-0.2791666666666667
1906,98782,-0.22666666666666668
1907,120683,-0.39999999999999997
1908,121900,-0.435
1909,121608,-0.4741666666666667
1910,121552,-0.42416666666666664
1911,125160,-0.44333333333333336
1912,136223,-0.3475
1913,146038,-0.3416666666666666
1914,135897,-0.15833333333333335
1915,126339,-0.10666666666666667
1916,136653,-0.34
1917,143171,-0.395
1918,137397,-0.26166666666666666
1919,105739,-0.2225
1920,117142,-0.26666666666666666
1921,129143,-0.21
1922,124307,-0.2775
1923,90592,-0.245
1924,123306,-0.28250000000000003
1925,125018,-0.20583333333333334
1926,112783,-0.09666666666666666
1927,131289,-0.21
1929,147099,-0.36083333333333334
1930,126019,-0.14416666666666667
1931,105239,-0.09499999999999999
1932,94792,-0.1675
1933,99578,-0.28833333333333333
1934,111530,-0.14333333333333334
1935,123463,-0.19583333333333333
1936,136376,-0.15333333333333335
1937,153811,-0.03
1938,164120,-0.035
1939,177042,-0.03333333333333333
1940,178594,0.07583333333333334
1941,180360,0.12333333333333334
1942,182295,0.09416666666666668
1943,185444,0.12916666666666668
1944,163830,0.25166666666666665
1945,31677,0.11499999999999999
1946,74152,-0.0375
1947,86701,-0.04916666666666667
1948,103123,-0.09000000000000001
1949,117955,-0.08750000000000001
1950,139392,-0.1775
1951,157457,-0.06833333333333334
1952,166769,0.006666666666666667
1953,170187,0.07583333333333334
1954,180079,-0.12583333333333332
1955,197485,-0.15
1956,209138,-0.20333333333333334
1957,212336,0.03416666666666667
1958,206461,0.0675
1959,206306,0.03
1960,222181,-0.024999999999999998
1961,227885,0.055
1962,241077,0.03
1963,258089,0.0625
1964,264486,-0.19833333333333336
1965,262081,-0.10166666666666667
1966,259713,-0.04833333333333334
1967,255564,-0.020833333333333332
1968,268820,-0.07
1969,287165,0.0675
1970,280079,0.024166666666666666
1971,283203,-0.08833333333333333
1972,284430,0.011666666666666665
1973,296565,0.15
1974,290319,-0.07416666666666667
1975,273909,-0.016666666666666666
1976,298109,-0.11416666666666668
1977,287719,0.18166666666666667
1978,295038,0.06916666666666667
1979,305691,0.1691666666666667
1980,300851,0.2725
1981,286798,0.32833333333333337
1982,277872,0.1325
1983,276803,0.3016666666666667
1985,285685,0.1175
1986,286670,0.19166666666666668
1987,282596,0.335
1988,281732,0.40750000000000003
1989,277389,0.29083333333333333
1990,276447,0.44333333333333336
1991,253606,0.4283333333333333
1992,243244,0.22916666666666666
1993,239336,0.24333333333333332
1994,236040,0.31916666666666665
1995,235645,0.4566666666666667
1996,242600,0.3516666666666666
1997,235145,0.4816666666666667
1998,233260,0.6366666666666667
1999,224287,0.4175
2000,226337,0.42333333333333334
2001,232796,0.5475
2002,226268,0.6333333333333333
2003,224383,0.6191666666666668
2004,222744,0.5458333333333333
2005,217393,0.6925
2006,222654,0.6325
2007,212857,0.6583333333333333
2008,212862,0.5341666666666667
2009,196963,0.6441666666666667
2010,206943,0.7133333333333334
2011,199754,0.6025
2012,201762,0.635
2013,206521,0.6558333333333334
2014,196314,0.7433333333333333
